conversation_id,customer_message,true_intent,true_action,true_reason,actual_brand_reply
1809a7e15a7044098141e4ed09f41ca3,"Howdy. Today I started getting a ""No Sim Card Installed"" message on my iPhone 6. I'm running 9.2.1
???",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We would love to help fix this. Follow these steps and DM us if you need further assistance: https://t.co/UTP2qBzCA0
749756fbdec17b0a8d94090526ae2b4e,Awrite av got a problem with my iPhone,General Inquiry,Auto-handle,"Standard issue, can link to docs.","We’re happy to help with your iPhone. DM us the model, iOS
 Version and the issue and we can go from there."
74d49c1a8dfd273a7fefc248d6609f71,"@118101 @AppleSupport unable to use iPad pro 10"" with @118101 via apple sim. Get ""An error has occurred when getting user information (TMF12)"" after selecting available ee plans. 

VERY inconvenient.",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd like to help get your iPad Pro activated. DM us and we'll get started. https://t.co/GDrqU22YpT
440e3c063d8318c976afb8067308b5a5,how do I delete apps if this is what shows when I press and hold an app https://t.co/R47Tz6nsA7,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We can take a look at it. Which device and what version of iOS are you currently using?
5a367bad5af3347f6936313cd87b5d45,Is family shared iCloud storage a functionality I can't find or is this something that doesn't exist (yet)?,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'll happy to work with you and answer your questions. Please DM us where we have more room. https://t.co/GDrqU22YpT
44a0a005daad4f8d93664ea57578c698,@115858 @AppleSupport how do I fix this. fuq ios. 11 https://t.co/zu7RJBORSU,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We've received your DM and we'll be glad to follow up with you there shortly. https://t.co/GDrqU22YpT
379fbc9474cdeee48caf9e28aa058d42,My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We're happy to assist. This article can help you to unlock your account: https://t.co/HH37urdbz9 DM us with any questions. https://t.co/GDrqU22YpT
8838d285f3be831ed6fe3ac6f9ab1116,@AppleSupport I’m having the same issue. Also: my music and podcasts start/stop randomly. So annoying.,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd love to look into this with you. Which device and software version are you using? Please send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1c34790dc216b192e2c31080c0c7e1ea,"So not only am I locked out of my iTunes, but this update is also killing my battery 😖😡 #iphoneproblems why @115858 why?!?! 👺👺",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We're here for you. Which iPhone and software version are you using?
fa96ac1e383250900602ab6ccc06cecb,The amount of times that happens is more than the amount of iPhones Apple has sold to this day. Fix these things. My iPhone 7 is dying. https://t.co/RajhoChvrt,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd love to help with this. Send us a DM with some additional information on what's happening &amp; share your iOS version too. https://t.co/GDrqU22YpT
9e29d83f258f477a46b62cfa8a7461a1,"@AppleSupport Hi, is it possible to link my Hive lights/hub to Apple HomeKit?",General Inquiry,Auto-handle,"Standard issue, can link to docs.","Hi! To see a list of accessories that work with Apple HomeKit, click here: https://t.co/5OAsDC2ye7"
25a7be7953b054b78bddf50246ba86ff,my touch bar isn't working! https://t.co/Exw41Bcg2p,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We want your Mac to always work as expected. Does the Touch Bar work in any apps outside of Messages?
c624078201d585b4dcd4920ab71bee28,"Hei @AppleSupport, I want complain about @118936, why my account when download the app from my iPhone or Macbook very slow?",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Downloads are dependent on the network connection. Are you doing this over Wi-Fi or cellular data?
b42e94c2a4de91ce7125a8a6628228c7,I hate @115858 why won't your products cooperate,General Inquiry,Escalate,Customer expressing high frustration.,We'll assist you any way we can. What's going on?
d89e78fc5acc63fe81248d356ad3f45d,@AppleSupport did you ever fix it? im having the same issue right now :(,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd love to work this out with you. Any USB devices attached currently? Please DM us. https://t.co/GDrqU22YpT
090c2360a5c101408327f662b9a437fe,my phone keeps saying storage almost full I've deleted apps photos and videos and it's still at the same space level help,General Inquiry,Auto-handle,"Standard issue, can link to docs.","We're here to help. Can you tell us when you deleted your items, did you do a restart to your iPhone?"
5a5d12ed02ef11c0172517a86b8e3dd7,why does your new update require 3 passwords including an iCloud security code that I cannot change even though I know it,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Happy to help. We've answered your DM. Look for our communication there.
6ebee48fe169aa4fe224f04209e87278,"how do I make a genius bar appointment?  the webpage is 403 forbidden.  I called the store number, but I am on hold.",Account & Billing,Auto-handle,"Standard issue, can link to docs.",What is the reservation regarding? We're happy to help. You can also try using the following link: https://t.co/PruGCHO1ib
3d44304ed51cc63550c73560a7d8ddda,"Ever since the last update, my battery has been running down pretty fast! Sometimes within minutes, it's out. Please advise.",Software/OS Update,Auto-handle,"Standard issue, can link to docs.","That's not expected. We're happy to help. Which iPhone model do you have? Also, what's the ambient temperature when this occurs?"
b6cf17d2e8fd4feb769b19eded9cb00e,My pod is broken can u fix it,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,We're glad to work with you. What's your iPod model and what issue are you having?
8e571add2ac513fd231e705547a63024,"Thank you, @115858, for this helpful message when trying to open https://t.co/9tEBAJe24j and it fails: https://t.co/p4cbNl9s5n",General Inquiry,Auto-handle,"Standard issue, can link to docs.",Hey there! Let's work on this together. Which macOS are you using? Has your Mac been restarted since you received this message?
59f4e42f1862b5244e2229de4c1f8b3f,"Hi @115858 @AppleSupport just want to share my 4th freezing experience this morning with you (within two weeks) since I move to IOS11 (just updated to 11.1.1 yesterday)
Maybe one of your software freaks could solve a wildly isssue here in KSA https://t.co/p04Yo3bXVK",Software/OS Update,Escalate,"Very long complex message, requires human reading.",We certainly want you to have the best experience with new updates and would like to help. Please DM us a bit more about what happened and we'll continue there. https://t.co/GDrqU22YpT
d44003cb6be8cff88c4f9ef9fd31b820,@118721 @AppleSupport Been having same issue,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We want to help. DM us details on the iOS version you have and which iTunes version. We'll work with you there. https://t.co/GDrqU2kzhr
9191db612f7c55d002351c72e758e0d4,I purchased extra storage but it's not reflecting. Can you help,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd be happy to help. DM us what you're seeing available for iCloud storage and how much you purchased to get started. https://t.co/GDrqU22YpT
a3d1662d36c40617e94e2e469f1ede16,"@115858 - how do I track a weight lifting workout on my Apple Watch Series 2 as an Activity""?I feel like I'm not getting credit",General Inquiry,Auto-handle,"Standard issue, can link to docs.",Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT
660bcb7a26f26e3c581d1beb588790a7,@115858 Did you find fix? Mine does the same. So frustrating,General Inquiry,Auto-handle,"Standard issue, can link to docs.","We'd like to help out. What's the macOS is this running? In DM, what have you tried to resolve it? It helps not to repeat them. https://t.co/GDrqU22YpT"
